The Ghost Maker,0
Fulgurite Shard,0
Firestarter's Torch,0
Hazelroot,0
Frozen Ire,0
Culnivar's Claim,0
The Shattered Cycle,0
Alchemist's Ladle,0
Reach of the Grave,0
Mad Alchemist's Ladle,0
Cinder Song,0
Abacus Rod,0
Marina's Lost Soul,0
Wrongwarp,0
Harthenon's Vow,0
Bone Harvester,0
Apathy's Maw,0
Usurper's Mandate,0
Death's Embrace,0
Pyre of Affliction,0
Hammer of Lorent,0
Torch Of The Pontifex,0
Storm Breaker,0
Shadow Beacon,0
Bhuldar's Wrath,0
Draalsting,0
Sierpin's Fractal Tree,0
Tu'rani's Bident,0
Lethal Concentration,0
Lament of the Lost Refuge,0
Morditas' Reach,0
The Judicator,0
Trident of the Last Abyss,0
Dreamthorn,0
Battlemage's Endeavour,0
The Last Laugh,0
Merophage,0
Volcanus,0
Spine of Malatros,0
Torkrefin's Hunger,0
Alluvion,0
Eternal Eclipse,0
Leviathan Carver,0
Bo's Anarchy,0
Curse of Perseverance,0
Reowyn's Fortress,0
Aberrant Call,0
Plague Bearer's Staff,0
Aergon's Refuge,0
Omnividence,0
Branch of Hallows,0
Jasper's Searing Pride,0
Wheel of Torment,0
Dragonflame Edict,0
Hell Reach,0
Shadow String,0
Longshot,0
Talons of Valor,0
Dragonsong,0
Uethrin's Stand,0
Gathering Fury,0
Flight of the First,0
Acidfletch,0
Drelkor's Compass,0
Reign of Winter,0
Arrowguard,0
Sanguine Hoard,0
Troaka's Teeth,0
Zeurial's Hunt,0
Nightbringer,0
The Slab,0
Close Call,0
Soul Bastion,0
Cradle of the Erased,0
Sigeon's Reprisal,0
Life's Journey,0
Face of the Mountain,0
Moenia Mentis,0
Bastion of Honour,0
Thornshell,0
Flayer's Pride,0
Coral Aegis,0
Rahyeh's Light,0
Bulwark of the Last Abyss,0
Faith of the Frozen,0
Horns of Uhkeiros,0
Vial of Volatile Ice,0
Chronicle of the Damned,0
Rotmind,0
Stygian Coal,0
Fragment of the Enigma,0
Ignivar's Head,0
Frey's Retreat,0
Scales of Eterra,0
Symbol of Demise,0
The Cuckoo,0
Arboreal Circuit,0
Tongue of the Aberrant Seer,0
Quicksilver Coil,0
Ring of the Third Eye,0
Font of the Erased,0
Sunwreath,0
Hollow Finger,0
Julra's Stardial,0
Silvafrond,0
Liath's Signet,0
Penumbra,0
Ribbons of Blood,0
Siphon of Anguish,0
Ashes of Mortality,0
Heirloom of the Last Nomad,0
Cycle of Putrescence,0
Oceareon,0
Red Ring of Atlaria,0
Gambler's Fallacy,0
Bleeding Heart,0
The Claw,0
Strong Mind,0
Chimaera's Essence,0
Tears of the Forest,0
Death Rattle,0
Soul Gambler's Fallacy,0
The Fang,0
Xithara's Conundrum,0
Apostate's Sanctuary,0
Serpent's Milk,0
Frozen Eyes of Formosus,0
Devotion,0
Aurora's Time Glass,0
Omnis,0
Orian's Eye,0
The Confluence of Fate,0
Logi's Hunger,0
Eye of Storms,0
Grimoire of Necrotic Elixirs,0
Tome of Elements,0
Vortex Pennant,0
Ambitions of an Erased Acolyte,0
Code of an Erased Sentinel,0
Dedication of an Erased Primalist,0
Gambit of an Erased Rogue,0
Knowledge of an Erased Mage,0
Soulfire,0
Orchirian's Petals,0
Pillager's Gold,0
Box of Hydrae,0
Eye of Orexia,0
Kelthan Blasting Agent,0
Ashes of Orchirian,0
Murama's Hilt,0
Melvern's Writ,0
Diothaen's Bloody Nib,0
Ucenui's Sphere,0
Valdyr's Chalice,0
Bloodkeeper's Nest,0
Herkir's Vessel,0
Stormcarved Testament,0
Anchor of Oblivion,0
Twisted Heart of Uhkeiros,0
Vessel of Strife,0
Singularity,0
Unvar's Rise,0
Unvar's Exile,0
Throne of Ambition,0
Trinity of Flames,0
Unvar's Hegemony,0
Vilatria's Storm Crown,0
The Last Bear's Lament,0
Isadora's Revenge,0
Corsair's Blood Cowl,0
Boardman's Legacy,0
Sunforged Greathelm,0
Gaspar's Insight,0
The Last Bear's Scorn,0
Sunforged Cuirass,0
Boardman's Fallacy,0
Gaspar's Acuity,0
Isadora's Gravechill,0
The Last Bear's Fury,0
Zerrick's Greed,0
Lich's Envy,0
Pebbles' Bitemarked Sash,0
Isadora's Tomb Binding,0
Zerrick's Guile,0
Halvar’s Stand,0
Zerrick's Ambition,0
Ruby Fang Cleaver,0
Blade of the Forgotten Knight,0
Shard of the Shattered Lance,0
Sinathia's Dying Breath,0
Ferebor's Chisel,0
Boardman's Plank,0
Gaspar's Will,0
Pebbles' Femur,0
Sunforged Hammer,0
Halvar's Pledge,0
Vilatria's Downfall,0
Defiance of the Forgotten Knight,0
Corsair's Boarding Shield,0
Ruby Fang Aegis,0
Sinathia's Resurrection,0
Lich's Scorn,0
The Invoker's Static Touch,0
The Invoker's Scorching Grasp,0
Ferebor's Persistence,0
Locket of the Forgotten Knight,0
The Invoker's Frozen Heart,0
Pebbles' Collar,0
Last Gift of the Mountain,0
Fragments of the Shattered Lance,0
